EnterCode,ExitCode,EnterName,ExitName,Distance/Km,NormalPrice,EarlyPrice
44_44,122_84,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Cheng Lim (SW1),li class=\'distance_fare_result_dt\'>24.7 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,114_77,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Chinatown (NE4 / DT19),li class=\'distance_fare_result_dt\'>24.7 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,25_25,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Chinese Garden (EW25),li class=\'distance_fare_result_dt\'>18.5 km,li class=\'distance_fare_result_fr\'>$1.75
44_44,49_30,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Choa Chu Kang (NS4 / BP1),li class=\'distance_fare_result_dt\'>10.5 km,li class=\'distance_fare_result_fr\'>$1.43
44_44,11_11,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>City Hall (NS25 / EW13),li class=\'distance_fare_result_dt\'>23.8 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,113_76,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Clarke Quay (NE5),li class=\'distance_fare_result_dt\'>24.1 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,21_21,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Clementi (EW23),li class=\'distance_fare_result_dt\'>20.5 km,li class=\'distance_fare_result_fr\'>$1.81
44_44,19_19,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Commonwealth (EW20),li class=\'distance_fare_result_dt\'>24.7 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,117_79,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Compassvale (SE1),li class=\'distance_fare_result_dt\'>24.7 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,132_94,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Coral Edge (PE3),li class=\'distance_fare_result_dt\'>27.5 km,li class=\'distance_fare_result_fr\'>$1.95
